title;published_date;author;description;price;weeks_on_list
63 DOCUMENTS THE GOVERNMENT DOESN'T WANT YOU TO READ;2011-04-24;Jesse Ventura with Dick Russell;The former governor of Minnesota implores Americans to challenge government secrecy.;24.95;2
7 LESSONS FROM HEAVEN;2017-10-08;Mary C Neal;nan;nan;1
7 MILES A SECOND;2013-02-24;David Wojnarowicz and James Romberger;This is the autobiographical tale of David Wojnarowicz — about life as a hustler on the streets of New York City and living with AIDS.;19.99;1
7 YEARS YOUNGER;2013-01-20;the editors of Good Housekeeping;A combination of beauty plan and diet-and-fitness program.;25.95;3
77 SHADOW STREET;2012-01-15;Dean Koontz;A 19th-century tycoon’s mansion has been turned into luxury apartments, but it remains in the grip of evil forces.;28.0;2
99 DAYS;2016-01-10;Katie Cotugno;nan;nan;2
A BALL FOR DAISY;2012-02-12;Chris Raschka;Daisy’s favorite ball is destroyed by a bigger dog | a 2012 Caldecott winner.;16.99;4
A BANQUET OF CONSEQUENCES;2015-11-15;Elizabeth George;Can a suicide in Dorset be connected to a poisoning in Cambridge? In the 19th novel in a series, the Scotland Yard detectives Thomas Lynley and Barbara Havers investigate.;nan;1
A BEAUTIFUL DAY IN THE NEIGHBORHOOD;2019-04-07;Fred Rogers;An illustrated treasury of 75 songs.;nan;5
A BEAUTIFUL FUNERAL;2016-09-04;Jamie McGuire;Amid strife and divisions, the Maddox clan gathers to bury one of their own.;nan;1
A BETTER MAN;2019-09-15;Louise Penny;The 15th book in the Chief Inspector Gamache series. The search for a missing girl is imperiled by rising floodwaters across the province.;nan;2
A BIG GUY TOOK MY BALL!;2013-06-09;Mo Willems;Someone stole Piggie’s ball. That is not right. ;nan;7
A BRIDE'S STORY, VOL. 4;2013-02-10;Kaoru Mori;The exploration of life on the nineteenth-century Silk Road continues. In this volume, meet Laila and Leily, identical twins on the search for husbands.;16.99;1
A BRIDE'S STORY, VOL. 5;2013-10-13;Kaoru Mori;Laila and Leily's wedding day finally arrives, but will the ceremony and their grooms live up to their expectations?;nan;1
A BRIEF HISTORY OF SEVEN KILLINGS;2015-11-01;Marlon James;This novel uses the attempted assassination of Bob Marley in 1976 to explore Jamaican politics, poverty, gang wars and drug trafficking | the winner of this year's Man Booker Prize.;nan;4
A BRIEF HISTORY OF TIME;2014-12-21;Stephen Hawking;The British cosmologist reviews efforts to create a unified theory of the universe.;nan;18
A CERTAIN SCIENTIFIC RAILGUN, VOL. 2;2011-10-16;Kazuma Kamachi;Welcome to Academy City, which teems with psychics. One of them is Mikoto Misaka, who investigates the dark side of things.;11.99;1
A CHILD OF BOOKS;2016-09-25;Oliver Jeffers and Sam Winston;Kids scale typographic mountains in a tribute to words.;nan;1
A CHILD'S FIRST BOOK OF TRUMP;2016-07-24;Michael Ian Black and Marc Rosenthal;nan;nan;1
A CHRISTMAS BRIDE;2012-11-11;Susan Mallery;"A reissue of a 2011 novella, ""Only Us: A Fool’s Gold Holiday,"" and a 2007 novel, ""The Sheik and the Christmas Bride.""";7.99;1
A CLASH OF KINGS;2011-07-03;George RR Martin;"From the citadel of Dragonstone to the shores of Winterfell, factions vie for control of a divided land | Book 2 of ""A Song of Ice and Fire.""";8.99;86
A COLONY IN A NATION;2017-04-09;Chris Hayes;The MSNC host discusses race relations with a focus on the differences in policing in the white nation and its black colony.;nan;2
A COLUMN OF FIRE;2017-10-01;Ken Follett;The lovers Ned Willard and Margery Fitzgerald find themselves on opposite sides of a conflict between English Catholics and Protestants while Queen Elizabeth fights to maintain her throne.;nan;5
A COMMON STRUGGLE;2015-10-25;Patrick J Kennedy and Stephen Fried;The former Rhode Island representative, the son of Senator Ted Kennedy, describes his troubles with bipolar disorder and addiction and his subsequent advocacy for mental health care and research.;nan;2
A COURSE IN WEIGHT LOSS;2010-12-05;Barbra Streisand;A program that links losing weight to spiritual growth.;24.95;3
A COURT OF MIST AND FURY;2016-05-22;Sarah J Maas;nan;nan;19
A COURT OF THORNS AND ROSES;2015-05-24;Sarah J Maas;A huntress is carried off to a treacherous magical land.;nan;8
A CREED IN STONE CREEK;2011-03-13;Linda Lael Miller;Steven Creed becomes the guardian of a 5-year-old boy, trading his law firm for a ranch near his McKettrick family in Stone Creek, Ariz.;7.99;2
A CURIOUS MIND;2015-05-03;Brian Grazer and Charles Fishman;The Oscar-winning producer describes the importance of curiosity in his life, and how others can harness its power.;nan;0
A DANCE WITH DRAGONS;2011-07-31;George R R Martin;After a colossal battle, the Seven Kingdoms face new threats.;35.0;57
A DANGEROUS MAN;2019-08-25;Robert Crais;Elvis Cole and Joe Pike get more than they bargained for when they investigate the abduction of a bank teller.;nan;1
A DANGEROUS PLACE;2015-04-05;Jacqueline Winspear;The psychologist turned private investigator Maisie Dobbs is drawn into political intrigue in Gibraltar in 1937.;nan;1
A DAY IN THE LIFE OF MARLON BUNDO;2018-04-15;Marlon Bundo with Jill Twiss;A lonely bunny meets a companion.;nan;21
A DELICATE TOUCH;2019-01-20;Stuart Woods;The 48th book in the Stone Barrington series.;nan;1
A DETAIL OF HISTORY;2016-03-27;Arek Hersh;A memoir of surviving the Holocaust as a boy.;nan;1
A DISCOVERY OF WITCHES;2011-02-27;Deborah Harkness;The recovery of a lost ancient manuscript in a library at Oxford sets a fantastical underworld stirring. Read by Jennifer Ikeda. 23 hours, 59 minutes unabridged.;28.95;3
A DOG'S PURPOSE;2016-12-25;W Bruce Cameron;From stray mutt to golden-haired puppy, a dog finds himself reincarnated over the years as he searches for his purpose in life.;nan;32
A DOG'S WAY HOME;2018-12-23;W Bruce Cameron;A dog sets out across 400 miles of wilderness to find the man who rescued her as a puppy.;nan;9
A FIELD GUIDE TO REDHEADS;2017-01-01;Elizabeth Graeber;An overview, with illustrations, of fictional and real-life redheads of many hues. ;nan;0
A FIGHTING CHANCE;2014-05-11;Elizabeth Warren;The Massachusetts senator describes her life, her academic work and her battle for a consumer protection agency.;nan;3
A FINE ROMANCE;2015-04-26;Candice Bergen;"The actress's memoir discusses her marriage to Louis Malle, her work on ""Murphy Brown"" and the birth of her daughter at 39.";nan;1
A FRIEND FOR EINSTEIN, THE SMALLEST STALLION;2011-05-08;Charlie Cantrell and Rachel Wagner;The world’s smallest horse searches for the ideal playmate.;16.99;2
A FRIEND LIKE HENRY;2014-09-07;Nuala Gardner;The story of an autistic boy and the dog that unlocked his world.;nan;1
A FULL LIFE;2015-07-26;Jimmy Carter;At 90, the 39th president (and Nobel Prize winner) reflects on his private and public life.;nan;4
A FUNNY THING HAPPENED ON THE WAY TO THE FUTURE;2010-05-09;Michael J Fox;The actor shares lessons learned.;17.99;4
A GAME OF THRONES;2011-05-01;George RR Martin;In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering.;25.0;192
A GAME OF THRONES, VOL. 2;2013-06-30;Daniel Abraham and Tommy Patterson;George R.R. Martin's fantasy series is the gift that keeps on giving - first the HBO series and now a graphic novel one.;nan;5
A GAME OF THRONES, VOL. 3;2014-03-30;Daniel Abraham and Tommy Patterson;George R.R. Martin’s fantasy series is the gift that keeps on giving — first there was the television adaptation on HBO — and now, a graphic novel one.;nan;3
A GAME OF THRONES, VOLUME FOUR;2015-05-31;Daniel Abraham and Tommy Patterson;The epic fantasy by George R.R. Martin gets the graphic novel treatment.;nan;1
A GENTLEMAN IN MOSCOW;2019-04-14;Amor Towles;A Russian count undergoes 30 years of house arrest in the Metropol hotel, across from the Kremlin.;nan;34
A GENTLEMAN NEVER TELLS;2016-07-17;Eloisa James;A novella traces a widow's course into the arms of a reformed rake.;nan;1
A GIFT OF HOPE;2012-11-18;Danielle Steel;In this memoir, the novelist describes how she transformed the pain of the loss of her son into an enriching campaign of service.;nan;1
A GIRL'S GUIDE TO MOVING ON;2016-03-13;Debbie Macomber;A mother and her daughter-in-law both leave unhappy marriages and take up with new men.;nan;2
A GREAT RECKONING;2016-09-18;Louise Penny;An instructor at the police academy is found murdered, perhaps by one of the cadets favored by Armand Gamache, the retired homicide chief of the Sûreté du Québec.;nan;2
A HEARTBREAKING WORK OF STAGGERING GENIUS;2014-11-02;Dave Eggers;A memoir of bringing up his younger brother after both his parents die of cancer | originally published in 2000.;nan;0
A HIDDEN ENEMY;2013-05-26;Erin Hunter;Lucky and his pack fight wild dogs for control of the forest.;nan;1
A HIGHER LOYALTY;2018-05-06;James Comey;The former F.B.I. director recounts cases and personal events that shaped his outlook on justice. 9 hours, 4 minutes unabridged. Read by the author.;nan;7
A HOBBIT, A WARDROBE, AND A GREAT WAR;2016-08-28;Joseph Loconte;The influence of their World War I experience on the lives and writing of J.R.R. Tolkien and C.S. Lewis.;nan;1
A HOUSE IN THE SKY;2013-09-29;Amanda Lindhout and Sara Corbett;A memoir of a young woman’s brutal kidnapping and 460-day captivity in Somalia.;nan;1
A IS FOR ALIBI;2013-07-28;Sue Grafton;The first of the Kinsey Millhone Alphabet mysteries, originally published in 1982.;nan;1
A JOURNEY;2010-09-19;Tony Blair;A memoir by the former British prime minister.;35.0;3
A KILLER'S MIND;2019-03-03;Mike Omer;Zoe Bentley, a forensic psychologist, goes after a serial killer in Chicago. Read by Brittany Pressley. 10 hours, 15 minutes unabridged.;nan;0
A KNIGHT OF THE SEVEN KINGDOMS;2015-10-25;George R R Martin;A collection of three official prequels to “A Song of Ice and Fire.”;nan;2
A LADY NEVER SURRENDERS;2012-02-12;Sabrina Jeffries;When the youngest Sharpe sister hatches a plan to gain marriage offers, a strait-laced Bow Street Runner vows to ruin her scheme.;7.99;1
