title;published_date;author;description;price;weeks_on_list
EAT TO LIVE COOKBOOK;2013-10-27;Joel Fuhrman;nan;nan;1
EAT, PRAY, LOVE;2010-01-24;Elizabeth Gilbert;A writer’s yearlong journey in search of self takes her to Italy, India and Indonesia.;15.0;207
EBOLA;2014-12-07;David Quammen;The natural and human history of the deadly virus.;nan;0
ECHOES IN DEATH;2017-02-26;J D Robb;Lt. Eve Dallas of the N.Y.P.D. investigates a fatal home invasion. By Nora Roberts, writing pseudonymously.;nan;4
ECONOMIX: HOW AND WHY OUR ECONOMY WORKS;2012-09-23;Michael Goodwin and Dan E Burr;"This graphic novels tell you everything you wanted to know about how economics works ""and doesn't work, in words and pictures,"" to borrow from the full title.";19.95;1
EDGE OF ETERNITY;2014-10-05;Ken Follett;Five interrelated families grapple with the events of the 1960s through the 1980s | Book 3 of the Century Trilogy. ;nan;6
EDUCATED;2018-03-11;Tara Westover;The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.;nan;95
EERIE ARCHIVES, VOL. 3;2010-05-30;various;Even more tales of terror. This batch includes stories written by Archie Goodwin, Russ Jones, Johnny Craig and others.;49.95;1
EGOMANIAC;2017-02-05;Vi Keeland;An embittered attorney and a psychologist share an office space and a growing attraction.;nan;1
EL DEAFO;2015-02-22;Cece Bell;A young girl experiences hearing loss and receives the Phonic Ear, a bulky hearing aid that comes with a mischievous benefit: She can hear her teacher no matter where she goes in school.;nan;46
ELBOW GREASE;2018-10-28;John Cena;A little monster truck shows he's got gumption.;nan;3
ELEANOR AND PARK;2013-12-29;Rainbow Rowell;The world opposes the love of two outcast teenagers, a Korean-American boy and a big girl with red hair.;nan;42
ELEANOR OLIPHANT IS COMPLETELY FINE;2018-06-24;Gail Honeyman;A young woman’s well-ordered life is disrupted by the I.T. guy from her office.;nan;60
ELEGY FOR EDDIE;2012-04-15;Jacqueline Winspear;In 1933, Maisie Dobbs, psychologist and investigator, discovers national ramifications as she probes the death of a London costermonger.;25.99;1
ELEMENTS OF STYLE;2014-11-02;Erin Gates;How to design a home interior that reflects your personal style.;nan;0
ELEPHANT COMPANY;2014-09-07;Vicki Constantine Croke;A portrait of an Englishman known as Elephant Bill who supervised, and came to protect, the elephants employed by a teak company in Burma, and trained them to provide assistance during World War II.;nan;0
ELEVATION;2018-11-18;Stephen King;A man who is losing weight without getting thinner forms an unlikely alliance with his neighbors who are dealing with prejudices.;nan;1
ELEVEN RINGS;2013-06-02;Phil Jackson and Hugh Delehanty;An autobiography by the coach who led the Chicago Bulls and the Los Angeles Lakers to multiple N.B.A. championships.;nan;6
ELIGIBLE;2016-05-08;Curtis Sittenfeld;The author of “Prep” and “American Wife” retells “Pride and Prejudice,” set in the Cincinnati suburbs in the present.;nan;1
ELITE;2016-09-25;Mercedes Lackey;nan;nan;1
ELITES OF EDEN;2017-10-22;Joey Graceffa;In a dystopic future, two girls from drastically different backgrounds learn of a thread that binds them.;nan;2
ELLE AND COACH;2016-05-01;Stefany Shaheen with Mark Dagostino;The mother of a young daughter with Type 1 diabetes tells how their lives changed with the arrival of a dog that detects low blood-sugar levels.;nan;0
ELON MUSK;2015-06-07;Ashlee Vance;nan;nan;2
ELVIS AND GINGER;2014-10-05;Ginger Alden;Elvis Presley’s last love describes their relationship.;nan;0
EMERALDALICIOUS;2013-02-17;Victoria Kann;Pinkalicious and Peter use pinkerrific magic to transform a park.;17.99;9
EMIGRANT EDGE;2017-09-03;Brian Buffini;nan;nan;0
EMPIRE AND HONOR;2013-01-20;W E B Griffin and William E Butterworth IV;An O.S.S. agent’s plan to help his German intelligence counterparts reach Argentina encounters trouble | Book 7 of the Honor Bound series.;27.95;1
EMPIRE OF COTTON;2015-02-01;Sven Beckert;The history of the fabric of the garment you are likely wearing right now and its dominance as a coveted global commodity that drives modern capitalism.;nan;0
EMPIRE OF MUD;2015-03-01;JD Dickey;The less than pristine history of Washington, D.C., beyond the gleaming monuments, stately columns and neoclassical tourist stops.;nan;0
EMPIRE OF THE SUMMER MOON;2010-08-29;SC Gwynne;The story of Quanah Parker, the last and greatest chief of the Comanches.;27.5;15
EMPOWERED, VOL. 7;2012-06-24;Adam Warren;Empowered, Ninjette and Thugboy return for another series of humorous misadventures.;16.99;1
EMPTY MANSIONS;2013-09-29;Bill Dedman and Paul Clark Newell Jr;The eccentric life of the reclusive heiress Huguette Clark, who died at the age of 104 in 2011.;nan;3
ENCHANTED FOREST;2015-06-07;Johanna Basford;"This ""Inky Quest & Coloring Book"" is a maze of complex outlines to color and embellish, complete with hidden objects to detect, symbols to decipher and a destination at the end.";nan;0
ENCHANTMENT;2011-03-27;Guy Kawasaki;A former Apple employee explains how to gain professionally and personally by bringing about change in others.;26.95;1
END GAME;2017-12-03;David Baldacci;Jessica Reel and Will Robie fight a dangerous adversary in Colorado.;nan;8
END OF ALZHEIMER'S;2017-09-03;Dale Bredesen;nan;nan;3
END OF WATCH;2016-06-26;Stephen King;The conclusion of the Bill Hodges trilogy.;nan;5
ENDANGERED;2015-03-29;C J Box;When his 18-year-old ward is found beaten in a ditch, the Montana game warden Joe Pickett suspects her boyfriend, a rodeo star.;nan;1
ENDER'S GAME;2013-06-02;Orson Scott Card;To develop a secure defense against a hostile alien race's next attack, government agencies breed child geniuses and train them as soldiers.;nan;67
ENDLESS KNIGHT;2013-10-20;Kresley Cole;Evie must form alliances in a game of life and death.;nan;1
ENDLING: THE FIRST;2019-05-26;Katherine Applegate;Byx and friends continue their search for more dairnes as the threat of war looms.;nan;2
ENDURANCE;2017-11-05;Scott Kelly;A memoir by the retired astronaut and former commander of the International Space Station.;nan;1
ENDURE;2018-03-04;Alex Hutchinson;nan;nan;0
ENDZONE;2015-10-04;John U Bacon;nan;nan;0
ENEMY OF THE STATE;2017-09-24;Kyle Mills;Vince Flynn's character Mitch Rapp leaves the C.I.A. to go on a manhunt when the nephew of a Saudi King finances a terrorist group.;nan;2
ENGAGED!;2013-09-15;Gregg Lederman;nan;nan;1
ENIGMA;2017-10-01;Catherine Coulter;Agents Savich and Sherlock team up with Cam Wittier and Jack Cabot to capture an international criminal and solve a John Doe case.;nan;1
ENLIGHTENMENT NOW;2018-03-04;Steven Pinker;A case for using reason, science and humanism to counter pessimistic views of Western civilization.;nan;4
ENTRELEADERSHIP;2011-10-02;Dave Ramsey;Practical advice for growing your business.;26.0;3
ENTWINED WITH YOU;2013-06-23;Sylvia Day;Eva and Gideon face the demons of their pasts and accept the consequences of their obsessive desires | a Crossfire novel.;nan;7
ENVY;2011-09-25;JR Ward;As the son of a serial killer, the homicide detective Thomas DelVecchio Jr. atones for his father’s sins while fighting his own inner demons.;7.99;1
EONA;2011-05-08;Alison Goodman;Eona and her fellow rebels are on the run from High Lord Sethon’s army.;19.99;1
ERASING HELL;2011-07-24;Francis Chan and Preston Sprinkle;A pastor and a professor consider eternal destiny in Scripture.;14.99;3
ESCAPE;2014-10-12;Carolyn Jessop;A woman’s account of her flight from a fundamentalist polygamous sect | first published in 2007.;nan;2
ESCAPE CLAUSE;2016-11-06;John Sandford;Virgil Flowers of the Minnesota Bureau of Criminal Apprehension must deal with the theft of tigers from the local zoo.;nan;2
ESCAPE FROM CAMP 14;2012-04-22;Blaine Harden;A journalist's account of the life of Shin Dong-hyuk, who escaped the North Korean prison camp where he was born and raised.;nan;2
ESCAPE FROM MR. LEMONCELLO’S LIBRARY;2014-07-27;Chris Grabenstein;After spending the night in a locked, futuristic library, a group must find its way out. ;nan;69
ESSENTIAL OILS FOR BEGINNERS;2015-01-04;the staff of Althea Press;An introductory guide to aromatherapy and the benefits of oils.;nan;0
ESTHER THE WONDER PIG;2016-07-03;Steve Jenkins and Derek Walter with Caprice Crane;Two men adopt a micro-piglet that grows to be a 600-pound sow | their mutual love keeps pace in enormous and life-transforming ways.;nan;0
ETCHED IN SAND;2014-06-08;Regina Calcaterra;Five siblings survive childhood abuse, foster care and homelessness on Long Island.;nan;17
ETERNAL;2010-03-14;Cynthia Leitich Smith;Vampires plus  fallen angels equal romance.;8.99;1
EVA'S KITCHEN;2011-04-24;Eva Longoria and Marah Stets;Recipes that trace the “Desperate Housewives” star’s journey.;29.99;1
EVE;2011-10-16;Iris Johansen;The forensic sculptor Eve Duncan searches for answers to the mystery of her daughter’s disappearance.;7.99;2
EVER AFTER;2013-02-10;Kim Harrison;The witch Rachel Morgan and an unlikely ally battle a demon in order to prevent an apocalypse. ;27.99;1
EVER AFTER HIGH, THE UNFAIREST OF THEM ALL;2014-04-13;Shannon Hale;Not all of the children of fairy-tale characters want to step into their parents’ shoes.;nan;1
EVERNIGHT;2010-03-28;Claudia Gray;An exclusive school with unusual admission requirements.;nan;1
EVERY BREATH;2018-11-04;Nicholas Sparks;Difficult choices surface when Hope Anderson and Tru Walls meet in a North Carolina seaside town. Read by Sean Cameron Michael and Vanessa Johansson. 9 hours, 11 minutes unabridged.;nan;12
EVERY DAY A FRIDAY;2011-10-02;Joel Osteen;A guide to finding happiness every day, by the pastor of Lakewood Church.;24.99;18
EVERY DAY I FIGHT;2015-03-29;Stuart Scott with Larry Platt;A memoir by the ESPN anchor and commentator, who died of cancer in January 2015.;nan;2
EVERY DAY IS EXTRA;2018-09-23;John Kerry;A memoir by the former Massachusetts senator, secretary of state and 2004 Democratic presidential nominee.;nan;1
EVERY FIFTEEN MINUTES;2015-05-03;Lisa Scottoline;A psychiatrist becomes the target of a sociopath.;nan;1
EVERY FRENCHMAN HAS ONE;2016-08-07;Olivia De Havilland;A memoir of her daily life in Paris, by the Academy Award-winning actress, who married a Frenchman in 1953. Originally published in 1961.;nan;0
EVERY LAST ONE;2010-05-02;Anna Quindlen;After a shocking assault on her family, a woman must discover how to live the rest of her life.;26.0;1
EVERY LAST WORD;2015-10-04;Tamara Ireland Stone;nan;nan;1
EVERY LITTLE STEP;2016-07-03;Bob Brown with Nick Chiles;The performer looks back at his career, his tumultuous marriage to Whitney Houston and his relationship with their daughter, Bobbi Kristina.;nan;1
EVERY OTHER MONDAY;2010-07-11;John Kasich with Daniel Paisner;The former Congressman shares his Bible study group’s discussions about life’s challenges.;25.0;2
EVERY THING ON IT;2011-10-09;Shel Silverstein;"Poems and drawings by the author of ""Where the Sidewalk Ends.""";19.99;14
EVERYBODY ALWAYS;2018-05-06;Bob Goff;nan;nan;2
EVERYBODY'S GOT SOMETHING;2014-05-11;Robin Roberts with Veronica Chambers;A memoir by the “Good Morning America” anchor discusses her struggle with breast cancer and a rare blood disorder.;nan;3
EVERYTHING EYES;2015-04-05;Bobbi Brown;Professional techniques and tutorials for the care and make-up of eyes, including the selection of flattering eyeglass frames.;nan;0
EVERYTHING HAPPENS FOR A REASON;2018-03-04;Kate Bowler;A divinity school professor examines her tacit beliefs when she learns she has late-stage colon cancer.;nan;2
EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK;2014-05-25;Diane Muldrow;nan;nan;25
EVERYTHING I NEVER TOLD YOU;2015-08-16;Celeste Ng;A daughter’s death from drowning tears away at a Chinese-American family in 1970s Ohio.;nan;23
EVERYTHING IS F*CKED;2019-06-02;Mark Manson;nan;nan;4
EVERYTHING IS FIGUREOUTABLE;2019-09-29;Marie Forleo;nan;nan;2
EVERYTHING IS MAMA;2017-10-29;Jimmy Fallon;To baby animals learning new words, Mama is everything.;nan;13
EVERYTHING STORE;2013-11-03;Brad Stone;nan;nan;0
EVERYTHING TRUMP TOUCHES DIES;2018-08-26;Rick Wilson;The Republican political campaign strategist gives his take on the current president and offers a way forward for conservatives.;nan;1
EVERYTHING'S AN ARGUMENT;2015-02-01;Andrea A Lunsford, John J Ruszkiewicz and Keith Walters;A guide to rhetorical analysis and presentation.;nan;0
EVERYTHING, EVERYTHING;2015-09-20;Nicola Yoon;For a girl in a bubble, an online friendship becomes something more.;nan;51
EVICTED;2016-04-03;Matthew Desmond;How poor people repeatedly lose their homes while landlords profit.;nan;33
EVIL HAS A NAME;2018-12-02;Paul Holes, Jim Clemente and Peter McDonnell;A conversation about the story behind the investigation of the Golden State Killer. Read by Paul Holes and Jim Clemente. 6 hours, 13 minutes unabridged.;nan;0
EVVIE DRAKE STARTS OVER;2019-07-21;Linda Holmes;In a seaside town in Maine, a former Major League pitcher and a grieving widow assess their pasts.;nan;2
EX MACHINA, BOOK 5;2011-05-08;Brian K Vaughan and Tony Harris;This series tells the story of Mayor Mitchell Hundred, an ex-super-hero turned politician. This final volume of the deluxe collected edition, contains the final issues of the series.;29.99;1
EX MACHINA, VOL. 9;2010-06-06;Brian K Vaughan and Tony Harris;As the series races to its finale, Mayor Hundred, who was previously the superhero known as the Great Machine, must deal with a menace in the sewer system.;14.99;1
EXCEL SAGA, VOL. 23;2012-05-06;Rikdo Koshi;Here is a different take on feuding neighbors: one is out to destroy the world, the other to save it. But is either aware of what is actually happening?;9.99;1
EXCEPTIONAL;2015-09-20;Dick Cheney and Liz Cheney;The former vice president and his daughter chart their vision for a formidable future America.;nan;2
EXIT WEST;2017-03-26;Mohsin Hamid;Lovers in a city overwhelmed with violence hear about mysterious doors that will carry them into an alien and uncertain future.;nan;1
EXPECTING TO DIE;2017-03-19;Lisa Jackson;Alvarez and Pescoli are back, dodging a reality-TV crew while tracking a serial killer stalking the woods of a remote Montana town.;nan;1
EXPLOSIVE EIGHTEEN;2011-12-11;Janet Evanovich;After a disastrous vacation in Hawaii, the bounty hunter Stephanie Plum becomes the target of an international killer.;28.0;6
EXPOSED;2013-04-07;Kyra Davis;In Book 2 of the Just One Night series, Kasie Fitzgerald is crazy about Robert, the man she slept with in Las Vegas, but Dave, herfiancé, is furious.;nan;1
EXTORTION;2013-11-03;Peter Schweizer;nan;nan;0
EXTRA LEAN;2010-05-30;Mario Lopez with Jimmy Peña;Recipes and a seven-week meal plan to lose weight.;24.95;1
EXTRA YARN;2012-02-05;Mac Barnett;This isn’t an ordinary box full of yarn.;16.99;1
EXTREME OWNERSHIP;2015-11-01;Jocko Willink and Leif Babin;nan;nan;2
EXTREME PREY;2016-05-15;John Sandford;Lucas Davenport, who has left the Minnesota Bureau of Criminal Apprehension, is in Iowa trying to foil a plot to assassinate a Hillary Clinton-like candidate. The 26th Lucas Davenport thriller.;nan;3
EXTREMELY LOUD AND INCREDIBLY CLOSE;2012-01-15;Jonathan Safran Foer;A precocious boy goes on a scavenger hunt through New York’s five boroughs in search of the lock that fits a key belonging to his father, who died on Sept. 11.;14.95;10
EYE OF THE WORLD, VOL. 1;2011-10-02;Robert Jordan, Chuck Dixon and Chase Conley;"An adaptation of the first novel in the popular ""Wheel of Time"" fantasy series by Robert Jordan.";24.99;1
EYE OF THE WORLD, VOL. 3;2012-07-08;Chuck Dixon and Andie Tong;"The adaptation of the popular ""Wheel of Time"" fantasy series by Robert Jordan continues.";24.99;1
EYES ONLY;2015-01-18;Fern Michaels;When a powerful family tries to reclaim twins who were legally given up at birth, their loving but poor adoptive parents turn to Myra Rutledge and her formidable Sisterhood for help.;nan;4
EYES WIDE OPEN;2013-06-02;Raine Miller;Demons from the past threaten to destroy the passionate bond of Ethan and Brynne. Book 3 of the Blackstone Affair series.;nan;1
F IN EXAMS;2015-01-04;Richard Benson;Students’ creative responses to exam questions.;nan;0
F*CK FEELINGS;2015-11-01;Michael I Bennett and Sarah Bennett;A psychiatrist and his comedy writer daughter urge more practical solutions to life's many problems.;nan;0
FABLEHAVEN;2010-04-11;Brandon Mull;Evil is afoot in a sanctuary for magical creatures.;nan;16
FABLES - THE DELUXE EDITION BOOK SIX;2010-12-12;Bill Willingham, Mark Buckingham and others;In this hardcover collection of the on-going series, danger lurks in the form of Goldilocks, the Big Bad Wolf and Snow White are on the run, and more.;29.99;2
FABLES, VOL. 13;2010-02-28;Bill Willingham and Matthew Sturges;The Fables face-off against the Literals, the embodiments of romance, comedy, fantasy and one who can forever erase them from the world.;17.99;7
FABLES, VOL. 14;2010-12-26;Bill Willingham and Mark Buckingham;The threat of Mister Dark continues. Meanwhile, the flying monkey known as Bufkin wages a fight against the evil witch Baba Yaga.;17.99;1
FABLES, VOL. 15;2011-05-01;Bill Willingham and Mark Buckingham;The characters from folklore and fairy tales prepare for battle against the nefarious Mister Dark. Will Rose Red, the sister of Snow White, finally shake her malaise and assist?;17.99;10
FABLES, VOL. 16;2012-01-08;Bill Willingham and others;When the characters from fairy tales confront an evil foe, they need a new myth: super-heroes.;14.99;4
FABLES, VOL. 18;2013-02-10;Bill Willingham and Mark Buckingham;In this volume, the offspring of the Big Bad Wolf and Snow White get into a lot of trouble.;16.99;2
FABLES, VOL. 19;2014-01-12;Bill Willingham, Mark Buckingham and others;Bigby leaves Fabletown to search for his two abducted cubs and Snow White confronts a secret about her marriage.;nan;2
FABLES, VOL. 20;2014-09-21;Bill Willingham and Mark Buckingham;Rose Red wants to create a new Camelot — round table and all — but who will be her knights?;nan;1
FABLES, VOL. 22;2015-08-16;Bill Willingham and Mark Buckingham;...And they lived happily ever after. Or did they?;nan;1
FABLES: DELUXE EDITION, BOOK 11;2015-11-22;Bill Willingham, Mark Buckingham and others;The latest deluxe book collects issues 86–100 and contains stories that focus on witches and Rose Red.;nan;1
FABLES: DELUXE EDITION, BOOK 12;2016-06-12;Bill Willingham, Mark Buckingham and others;In the latest deluxe collection, with stories from issues 101 through 113, Mister Dark has risen again, more powerful than ever.;nan;1
FABLES: DELUXE EDITION, BOOK THREE;2011-09-11;Mark Buckingham and Tony Akins;This volume of the series about storybook characters in exile chronicles Fabletown under siege by Prince Charming running for mayor and an attack by wooden soldiers.;29.99;1
FABLES: THE DELUXE EDITION, BOOK EIGHT;2014-03-02;Bill Willingham and Mark Buckingham;Flycatcher, a.k.a. the Frog Prince, takes center stage in this volume, which chronicles his rise from janitor to ruler of Haven.;nan;1
FABLES: THE DELUXE EDITION, BOOK FOUR;2012-03-11;Bill Willingham and others;In this collection of the on-going series, Snow White gives birth (the father is the Big Bad Wolf) and Little Boy Blue discovers the identity of the Adversary.;29.99;1
FABLES: THE DELUXE EDITION, BOOK NINE;2014-10-26;Bill Willingham, Mark Buckingham and others;The final confrontation between the Fables and the Adversary begins with the fate of the Homelands and hanging in the balance.;nan;1
FABLES: THE DELUXE EDITION, BOOK SEVEN;2013-09-22;Bill Willingham and Mark Buckingham;In this volume, the storybook characters in exile prepare for war with their adversary. Also: the Big Bad Wolf confronts the North Wind, his father.;nan;1
FABLES: WEREWOLVES OF THE HEARTLAND;2012-12-09;Bill Willingham and others;In his quest to find a new Fabletown, where he and his fellow storybook characters can reside, Bigby Wolf stumbles upon Story City, a town of werewolves.;22.99;1
FABULOUS FASHION BOUTIQUE;2010-10-31;Jane O’Connor;Fancy Nancy takes an entrepreneurial approach to haute couture.;17.99;7
FACE PAINT;2015-11-01;Lisa Eldridge;A history of cosmetics, from ancient Egypt and classical Greek and Rome, the Victorian era and Hollywood glamour, to the present, with information on the practical reasons behind makeup and actual materials used.;nan;0
FACE THE MUSIC;2014-04-27;Paul Stanley;A memoir by the Kiss rhythm guitarist.;nan;1
FACTFULNESS;2018-04-22;Hans Rosling with Ola Rosling and Anna Rosling Ronnlund;A look at our biases and the argument for why the world is in a better state than we might think.;nan;13
FACTS AND FEARS;2018-06-10;James R Clapper with Trey Brown;The former director of national intelligence describes events that challenged the intelligence community and considers some ethical questions around its efforts.;nan;1
FAIL UNTIL YOU DON'T;2018-07-08;Bob Bones;nan;nan;1
FAIR GAME;2012-03-25;Patricia Briggs;Two werewolves, an Alpha and an Omega, help the F.B.I. track a serial killer who is murdering preternatural beings.;26.95;1
FAIREST VOL. 3;2014-06-22;Sean E Williams, Stephen Sadowski and Phil Jimenez;When Nalayani seeks help in order to save her village, she makes a startling discovery: Prince Charming, long-thought to be deceased, is actually alive and well!;nan;1
FAIREST, VOL. 1;2012-12-16;Bill Willingham and Phil Jimenez;"This spinoff shines a spotlight on the female characters who populate the long-running ""Fables"" series by Mr. Willingham.";14.99;1
FAIREST, VOL. 2;2013-08-18;Lauren Beukes and Inaki Miranda;The spotlight is on Rapunzel who journeys away from Fabletown in search of her long-lost children.;nan;1
FAIREST, VOL. 5;2015-09-13;Mark Buckingham, Bill Willingham and Russ Braun;The animal fables at the farm demand to be given glamours, which would grant them the ability to change to human form and back again.;nan;1
FAIREST: IN ALL THE LAND;2013-12-15;Bill Willingham and others;Around 30 artists join Mr. Willingham for this short story collection, which focuses on the women of the “Fables” universe.;nan;3
FAIRY TAIL, VOL. 11;2010-07-11;Hiro Mashima;The Fairy Tail is a club of powerful wizards. In this volume, the members are used as pawns in a board game by the evil Jellal. Is killing them the only way to save them?;10.99;1
FAIRY TAIL, VOL. 12;2010-10-17;Hiro Mashima;The Fairy Tail is a club of powerful wizards. In this installment, the good guys try to stop a feared black wizard from being revived.;10.99;1
FAIRY TAIL, VOL. 16;2011-12-04;Hiro Mashima;The Fairy Tail is a club of powerful wizards.;10.99;1
FAIRY TAIL, VOL. 17;2012-02-19;Hiro Mashima;The Fairy Tail are a group of powerful wizards. In this volume, the destructive spell, Nirvana, which has the power to change the good and evil emotions within people, is unleashed.;10.99;1
FAIRY TAIL, VOL. 18;2012-04-01;Hiro Mashima;The Fairy Tail are a group of powerful wizards.;10.99;1
FAIRY TAIL, VOL. 19;2012-07-08;Hiro Mashima;The Fairy Tail are a group of powerful wizards.;10.99;1
FAIRY TAIL, VOL. 24;2013-04-21;Hiro Mashima;The Fairy Tail are a group of powerful wizards.;10.99;1
FAIRY TAIL, VOL. 25;2013-05-19;Hiro Mashima;The Fairy Tail are a group of powerful wizards.;nan;1
FAIRY TAIL, VOL. 26;2013-06-30;Hiro Mashima;The Fairy Tail are a group of powerful wizards.;nan;1
FAIRY TAIL, VOL. 27;2013-07-21;Hiro Mashima;The Fairy Tail are a group of powerful wizards.;nan;1
FAIRY TAIL, VOL. 28;2013-08-25;Hiro Mashima;The Fairy Tail are a group of powerful wizards.;nan;1
FAIRY TAIL, VOL. 33;2014-01-05;Hiro Mashima;The Grand Magic Games continue in this volume as Elfman prepares to face Bacchus.;nan;1
FAIRY TAIL, VOL. 37;2014-05-04;Hiro Mashima;Ezra faces not one but two of the most powerful female wizards in the world while Natsu barrels ahead with his reckless plan to rescue Lucy.;nan;3
FAIRY TAIL, VOL. 38;2014-06-01;Hiro Mashima;Erza, Gajeel and Laxus reach the finals of The Grand Magic Games but those events pale in comparison to another shocking development: the return of the dragons.;nan;2
FAIRY TAIL, VOL. 39;2014-07-06;Hiro Mashima;The dragons have returned and humanity’s only hope is the Eclipse Cannon and the magic of the dragon slayers.;nan;1
FAIRY TAIL, VOL. 40;2014-08-10;Hiro Mashima;The Fatal Day conflict with the dragons comes to end.;nan;2
FAIRY TAIL, VOL. 41;2014-08-31;Hiro Mashima;The Fairy Tail, a group of powerful wizards, encounter a town where everything is frozen, including giants and the Eternal Flame.;nan;1
FAIRY TAIL, VOL. 42;2014-10-19;Hiro Mashima;When a dark guild of demons attack former members of the Magic Council, only Fairy Tail can rise to their defense.;nan;3
FAIRY TAIL, VOL. 43;2014-11-23;Hiro Mashima;The demons of Tartaros continue their murderous assault on former members of the Magic Council.;nan;2
FAIRY TAIL, VOL. 44;2014-12-14;Hiro Mashima;Natsu comes face–to–face with Zeref the Black Wizard while Natsu and others raid the Tartaros guild.;nan;1
FAIRY TAIL, VOL. 46;2015-02-15;Hiro Mashima;The battle against the Nine Demon Gates continues.;nan;1
FAIRY TAIL, VOL. 47;2015-04-26;Hiro Mashima;Gray gains new powers while Natsu and Gajeel battle Tempester and Torafuzar.;nan;2
FAIRY TAIL, VOL. 48;2015-06-21;Hiro Mashima;The dragons slayers Rogue and Sting join the fray against Mard Geer, who reveals his true, demonic form.;nan;2
FAIRY TAIL, VOL. 52;2016-03-13;Hiro Mashima;Natsu and his friends learn the secret behind Makarov’s disappearance.;nan;1
FAIRY TAIL, VOL. 53;2016-05-01;Hiro Mashima;Fairy Tail must prepare for an invasion by Zeref and the Alvarez Empire.;nan;1
FAIRY TAIL, VOL. 55;2016-08-28;Hiro Mashima;Zeref reveals a hidden connection between himself and Natsu.;nan;1
FAIRY TAIL, VOL. 56;2016-10-16;Hiro Mashima;The battle for Magnolia continues.;nan;1
FAIRY TALE COMICS: CLASSIC TALES TOLD BY EXTRAORDINARY CARTOONISTS;2014-02-09;Chris Duffy and others;17 classic and not–so–classic fairy tales are adapted in this book, including “Puss in Boots,” “Goldilocks” and “The Boy Who Drew Cats.”;nan;8
FAIRY TALE INTERRUPTED;2012-02-12;RoseMarie Terenzio;Recollections of John F. Kennedy Jr. from his former personal assistant and confidante.;nan;1
FAIRY TALE ROMANCE COLLECTION;2016-10-30;Melanie Dickerson;nan;nan;2
FAIRYTALE;2017-10-29;Danielle Steel;Camille Lammenais returns from college to manage her family's winery in Napa Valley and is forced to deal with tragedy and unexpected dangers.;nan;2
FALL FROM GRACE;2018-02-11;Danielle Steel;A widow left out of her huband's will tries to make a new life as a fashion designer.;nan;2
FALL OF GIANTS;2010-10-17;Ken Follett;Five interrelated families from five countries are caught in the upheavals of World War I and the Russian Revolution. Book 1 of the Century trilogy.;36.0;15
FALL OR DODGE IN HELL;2019-06-23;Neal Stephenson;A dead multibillionaire’s brain is scanned and turned back on at a time when humans live as digital souls.;nan;1
FALLEN;2010-01-03;Lauren Kate;Thwarted love among misfits at a Savannah, Ga., boarding school.;17.99;24
FALLING FOR MY BEST FRIEND'S BROTHER;2015-03-15;J S Cooper;Alice finds it increasingly difficult to forget about her one-night stand with Aiden.;nan;1
FALLING IN LOVE;2015-04-26;Donna Leon;Commissario Guido Brunetti becomes involved when an obsessive fan stalks a diva.;nan;1
FALLING INTO YOU;2013-04-07;Jasinda Wilder;Years after her boyfriend's accidental death, Nell Hawthorne encounters his older brother, and they embark on a painful but ultimately healing relationship.;nan;3
FAMILY HUDDLE;2010-01-31;written  Peyton Manning, Eli Manning and Archie Manning   Jim Madsen;A football family in action.;16.99;2
FAMILY JEWELS;2016-04-24;Stuart Woods;In the 37th Stone Barrington novel, the lawyer becomes entangled in a mystery involving a wealthy divorcee’s ex-husband.;nan;1
FAMILY TIES;2010-07-11;Danielle Steel;A woman who raised her deceased sister’s three children must juggle their needs, her business and the new man in her life.;28.0;1
FANCY NANCY AND THE LATE, LATE, LATE NIGHT;2010-05-30;Jane O’Connor;The celebrity lifestyle leaves Nancy exhausted.;3.99;5
FANCY NANCY AND THE MERMAID BALLET;2012-02-26;Jane O'Connor;Fancy Nancy and her best friend get ready to dance.;17.99;9
FANCY NANCY AND THE WEDDING OF THE CENTURY;2014-04-27;Jane O'Connor;Here comes the bride.;nan;1
FANCY NANCY'S ELEGANT EASTER;2010-03-28;Jane O’Connor;Bunnies, flowers, eggs and a soupçon of French vocabulary.;6.99;7
FANCY NANCY: FANCIEST DOLL IN THE UNIVERSE;2013-05-12;Jane O'Connor;A sister defaces a sibling’s favorite toy. ;nan;3
FANGIRL;2013-11-17;Rainbow Rowell;Cath, a writer of popular fan fiction, struggles during her freshman year at college.;nan;15
FANTASTIC FOUR BY JONATHAN HICKMAN, OMNIBUS VOL. 1;2013-11-03;Jonathan Hickman and various;Dark Reign, visitors from the future and a threat from the Negative Zone are just some of what the Fantastic Four must contend with under the pen of Mr. Hickman.;nan;1
FANTASTIC FOUR: SEASON ONE;2012-03-11;Roberto Aguirre-Sacasa and David Marquez;This story is a modern take on the origin of The Fantastic Four.;24.99;2
FANTASY IN DEATH;2010-03-14;J D Robb;Lt. Eve Dallas investigates the murder of a fantasy-game entrepreneur | by Nora Roberts, writing pseudonymously.;26.95;2
FANTASY LIFE;2013-08-04;Matthew Berry;The senior fantasy sports analyst for ESPN celebrates the fantasy sports world. ;nan;1
